id_1,age,edyr,male,mig,id_1hk
1,18,9,1,0,1
1,27,9,1,0,1
1,40,4,0,0,1
1,23,6,1,0,1
1,38,12,1,0,1
1,34,9,1,0,1
1,26,9,1,0,1
1,16,9,0,0,1
1,27,9,1,0,1
1,21,6,0,0,1
1,16,6,1,0,1
1,32,4,0,0,1
1,23,6,1,0,1
1,21,9,1,0,1
1,22,9,1,0,1
1,35,6,0,0,1
1,25,9,0,0,1
1,16,6,1,0,1
1,44,9,0,0,1
1,22,9,0,0,1
1,19,6,1,0,1
1,32,6,0,0,1
1,44,6,1,0,1
1,43,4,1,0,1
1,21,4,1,0,1
1,19,9,1,0,1
1,26,12,1,0,1
1,44,6,1,0,1
1,41,9,1,0,1
1,27,6,0,0,1
1,30,6,0,0,1
1,43,4,1,0,1
1,32,9,1,0,1
1,27,6,1,0,1
1,23,4,0,0,1
1,37,4,0,0,1
1,43,4,0,0,1
1,23,6,0,0,1
1,26,9,1,0,1
1,33,9,1,0,1
1,20,9,1,0,1
1,26,9,0,0,1
1,38,4,0,0,1
1,18,4,1,0,1
1,42,4,1,0,1
1,33,6,0,0,1
1,33,6,1,0,1
1,26,9,1,0,1
1,19,6,1,0,1
1,37,6,0,0,1
1,37,9,0,0,1
1,40,4,0,0,1
1,19,6,0,0,1
1,40,6,1,0,1
1,28,9,0,0,1
1,25,6,1,0,1
1,27,6,0,0,1
1,19,6,0,0,1
1,42,4,0,0,1
1,26,12,1,0,1
1,25,9,1,0,1
1,18,9,1,0,1
1,34,6,0,0,1
1,33,9,1,0,1
1,25,6,0,0,1
1,44,9,1,0,1
1,29,6,1,0,1
1,19,9,0,0,1
1,28,9,0,0,1
1,20,4,0,0,1
1,36,6,0,0,1
1,26,9,0,0,1
1,40,12,1,0,1
1,19,9,0,0,1
1,30,9,1,0,1
1,16,9,1,0,1
1,26,6,1,0,1
1,26,8,1,0,1
1,25,9,0,0,1
1,21,6,1,0,1
1,27,9,1,0,1
1,27,9,1,0,1
1,31,9,1,0,1
1,28,9,1,0,1
1,25,9,1,0,1
